station,lat,lon,station_name_pinyin,station_name_zh,station_name_en,city_pinyin,city_zh,city_en,region,province
1024A,38.8394,117.457,yǒngmínglù,永明路,Yongming Road,tiānjīn,天津,Tianjin,Mainland China,Tianjin
1025A,39.124,117.401,hángtiānlù,航天路,Space road,tiānjīn,天津,Tianjin,Mainland China,Tianjin
1026A,39.1587,117.764,hànběilù,汉北路,Hanbei Road,tiānjīn,天津,Tianjin,Mainland China,Tianjin
1027A,38.9194,117.157,tuánbówā,团泊洼,Group,tiānjīn,天津,Tianjin,Mainland China,Tianjin
1028A,37.99018,114.60383,huàgōngxuéxiào,化工学校,Chemical school,shíjiāzhuāng,石家庄,Shijiazhuang,Mainland China,Hebei
1029A,38.0513,114.4548,zhígōngyìyuàn,职工医院,Staff hospital,shíjiāzhuāng,石家庄,Shijiazhuang,Mainland China,Hebei
1030A,38.0398,114.6046,gāoxīnqū,高新区,High-tech Zone,shíjiāzhuāng,石家庄,Shijiazhuang,Mainland China,Hebei
1031A,38.1398,114.5019,xīběishǔiyuán,西北水源,Northwest water source,shíjiāzhuāng,石家庄,Shijiazhuang,Mainland China,Hebei
1032A,38.00583333,114.4586111,xīnángāojiào,西南高教,Southwestern Higher Education,shíjiāzhuāng,石家庄,Shijiazhuang,Mainland China,Hebei
1033A,38.01777778,114.53305559999998,shìjìgōngyuán,世纪公园,Century Park,shíjiāzhuāng,石家庄,Shijiazhuang,Mainland China,Hebei
1034A,38.0524,114.5214,rénmínhùitáng,人民会堂,People&#39;s Hall,shíjiāzhuāng,石家庄,Shijiazhuang,Mainland China,Hebei
1035A,37.9097,114.3541,fēnglóngshān,封龙山,Fenglongshan,shíjiāzhuāng,石家庄,Shijiazhuang,Mainland China,Hebei
1036A,39.6308,118.1662,gōngxiāoshè,供销社,Supply and marketing agency,tángshān,唐山,Tangshan,Mainland China,Hebei
1037A,39.643,118.144,léidázhàn,雷达站,Radar stations,tángshān,唐山,Tangshan,Mainland China,Hebei
1038A,39.6407,118.1853,wùzījú,物资局,Material bureau,tángshān,唐山,Tangshan,Mainland China,Hebei
1039A,39.6679,118.2185,táocígōngsī,陶瓷公司,Ceramic company,tángshān,唐山,Tangshan,Mainland China,Hebei
1040A,39.65782,118.1838,shíèrzhōng,十二中,Twelve,tángshān,唐山,Tangshan,Mainland China,Hebei
1041A,39.6295,118.1997,xiǎoshān,小山,highlands,tángshān,唐山,Tangshan,Mainland China,Hebei
1042A,39.8283,119.5259,běidàihéhuánbǎojú,北戴河环保局,Beidaihe Environmental Protection Bureau,qínhuángdǎo,秦皇岛,Qinhuangdao,Mainland China,Hebei
1043A,40.0181,119.7624,dìyīguān,第一关,1st Level,qínhuángdǎo,秦皇岛,Qinhuangdao,Mainland China,Hebei
1044A,39.9567,119.6023,jiāncèzhàn,监测站,GHG monitoring,qínhuángdǎo,秦皇岛,Qinhuangdao,Mainland China,Hebei
1045A,39.9358,119.607,shìzhèngfǔ,市政府,Local government,qínhuángdǎo,秦皇岛,Qinhuangdao,Mainland China,Hebei
1046A,39.9419,119.5369,jiànshèdàshà,建设大厦,Building,qínhuángdǎo,秦皇岛,Qinhuangdao,Mainland China,Hebei
1047A,36.61763,114.5129,huánbǎojú,环保局,Environmental Protection Agency,hándān,邯郸,邯郸,Mainland China,Hebei
1048A,36.6164,114.5426,dōngwūshǔichùlǐchǎng,东污水处理厂,East sewage treatment plant,hándān,邯郸,邯郸,Mainland China,Hebei
1049A,36.5776,114.5035,kuàngyuàn,矿院,Mine,hándān,邯郸,邯郸,Mainland China,Hebei
1050A,36.61981,114.4965,cóngtáigōngyuán,丛台公园,Congtai Park,hándān,邯郸,邯郸,Mainland China,Hebei
1051A,38.8632,115.493,yóuyǒngguǎn,游泳馆,Natatorium,bǎodìng,保定,Baoding,Mainland China,Hebei
1052A,38.8957,115.5223,huádiànèrqū,华电二区,Huadian District 2,bǎodìng,保定,Baoding,Mainland China,Hebei
1053A,38.9108,115.4713,jiēdàizhōngxīn,接待中心,Reception centres 1997,bǎodìng,保定,Baoding,Mainland China,Hebei
1054A,38.8416,115.4612,dìbiǎoshǔichǎng,地表水厂,Surface water plant,bǎodìng,保定,Baoding,Mainland China,Hebei
1055A,38.8756,115.442,xiáopiànchǎng,胶片厂,Film factory,bǎodìng,保定,Baoding,Mainland China,Hebei
1056A,38.8707,115.5214,jiāncèzhàn,监测站,GHG monitoring,bǎodìng,保定,Baoding,Mainland China,Hebei
1057A,40.8367,114.8985,rénmíngōngyuán,人民公园,Woodlands Peak,zhāngjiākǒu,张家口,Zhangjiakou,Mainland China,Hebei
1058A,40.79481,114.892,tànjīchǎng,探机厂,Detector factory,zhāngjiākǒu,张家口,Zhangjiakou,Mainland China,Hebei
1059A,40.8115,114.8814,wǔjīnkù,五金库,Hardware store,zhāngjiākǒu,张家口,Zhangjiakou,Mainland China,Hebei
1060A,40.7688,114.9032,shìjìháoyuán,世纪豪园,Century Park,zhāngjiākǒu,张家口,Zhangjiakou,Mainland China,Hebei
1061A,40.8725,114.904,běibèngfáng,北泵房,North pump house,zhāngjiākǒu,张家口,Zhangjiakou,Mainland China,Hebei
1062A,40.9161,117.9664,tiělù,铁路,Rail transport,chéngdé,承德,Chengde,Mainland China,Hebei
1063A,40.9843,117.9525,zhōngguóyínxíng,中国银行,Bank of China,chéngdé,承德,Chengde,Mainland China,Hebei
1064A,40.9359,117.963,kāifāqū,开发区,Thereof: Development,chéngdé,承德,Chengde,Mainland China,Hebei
1065A,40.9733,117.8184,wénhuàzhōngxīn,文化中心,Activities Cultural nucleus,chéngdé,承德,Chengde,Mainland China,Hebei
1066A,41.0112,117.9384,lígōng,离宫,Palace,chéngdé,承德,Chengde,Mainland China,Hebei
1067A,39.5178,116.6838,yàocáigōngsī,药材公司,Medicinal company,lángfāng,廊坊,Langfang,Mainland China,Hebei
1068A,39.5747,116.7729,kāifāqū,开发区,Thereof: Development,lángfāng,廊坊,Langfang,Mainland China,Hebei
1069A,39.5571,116.715,huánjìngjiāncèjiānlǐzhōngxīn,环境监测监理中心,Environmental Monitoring Supervision Center,lángfāng,廊坊,Langfang,Mainland China,Hebei
1070A,39.5343,116.7464,běihuáhángtiānxuéyuàn,北华航天学院,Beihua Institute of Aerospace,lángfāng,廊坊,Langfang,Mainland China,Hebei
1071A,38.2991,116.8854,cāngxiànchéngjiànjú,沧县城建局,Qi County Urban Construction Bureau,cāngzhōu,沧州,Zhangzhou,Mainland China,Hebei
1072A,38.3254,116.8584,diànshìzhuǎnbōzhàn,电视转播站,Television relay station,cāngzhōu,沧州,Zhangzhou,Mainland China,Hebei
1073A,38.3228,116.8709,shìhuánbǎojú,市环保局,municipal environmental protection Bureau,cāngzhōu,沧州,Zhangzhou,Mainland China,Hebei
1074A,37.7575,115.6951,diànjīběichǎng,电机北厂,Motor North Factory,héngshǔi,衡水,Hengshui,Mainland China,Hebei
1075A,37.7379,115.6426,shìjiāncèzhàn,市监测站,City monitoring station,héngshǔi,衡水,Hengshui,Mainland China,Hebei
1076A,37.739,115.6906,shìhuánbǎojú,市环保局,municipal environmental protection Bureau,héngshǔi,衡水,Hengshui,Mainland China,Hebei
1077A,37.0967,114.4821,dáhuóquán,达活泉,Dahuoquan,xíngtái,邢台,Xingtai,Mainland China,Hebei
1078A,37.0533,114.5261,xíngshīgāozhuān,邢师高专,Xing Shi College,xíngtái,邢台,Xingtai,Mainland China,Hebei
1079A,37.0964,114.5331,lùqiáogōngsī,路桥公司,Road and bridge company,xíngtái,邢台,Xingtai,Mainland China,Hebei
1080A,37.062,114.4854,shìhuánbǎojú,市环保局,municipal environmental protection Bureau,xíngtái,邢台,Xingtai,Mainland China,Hebei
1081A,37.8873,112.522,jiāncǎopíng,尖草坪,Sharp lawn,tàiyuán,太原,Taiyuan,Mainland China,Shanxi
1082A,37.9103,112.573,jiànhé,涧河,Luohe,tàiyuán,太原,Taiyuan,Mainland China,Shanxi
1083A,38.0108,112.434,shànglán,上兰,Shanglan,tàiyuán,太原,Taiyuan,Mainland China,Shanxi
1084A,37.7124,112.469,jìnyuán,晋源,Jinyuan,tàiyuán,太原,Taiyuan,Mainland China,Shanxi
1085A,37.7394,112.5583,xiǎodiàn,小店,Small shop,tàiyuán,太原,Taiyuan,Mainland China,Shanxi
1086A,37.8692,112.5369,táoyuán,桃园,Peach Park,tàiyuán,太原,Taiyuan,Mainland China,Shanxi
1087A,37.8195,112.57,wùchéng,坞城,Dock city,tàiyuán,太原,Taiyuan,Mainland China,Shanxi
1088A,37.9854,112.549,nánzhài,南寨,Nanzhai,tàiyuán,太原,Taiyuan,Mainland China,Shanxi
1089A,37.7805,112.488,jīnshèng,金胜,Jin Sheng,tàiyuán,太原,Taiyuan,Mainland China,Shanxi
1090A,40.7579,111.651,hūshìyījiān,呼市一监,Hohichi,hūhéhàotè,呼和浩特,Hohhot,Mainland China,Nei Mongol
1091A,40.8033,111.658,xiǎozhào,小召,Xiao Zhao,hūhéhàotè,呼和浩特,Hohhot,Mainland China,Nei Mongol
1092A,40.8452,111.659,xīngsōngxiǎoqū,兴松小区,Xingsong Community,hūhéhàotè,呼和浩特,Hohhot,Mainland China,Nei Mongol
1093A,40.8144,111.608,tángchǎng,糖厂,Sugar factory,hūhéhàotè,呼和浩特,Hohhot,Mainland China,Nei Mongol
1094A,40.8369,111.751,rúyìshǔichùlǐchǎng,如意水处理厂,Ruyi Water Treatment Plant,hūhéhàotè,呼和浩特,Hohhot,Mainland China,Nei Mongol
1095A,40.8062,111.7277,èrshíjǐuzhōng,二十九中,Twenty-nine,hūhéhàotè,呼和浩特,Hohhot,Mainland China,Nei Mongol
1096A,40.7866,111.551,gōngdàjīnchuānxiàoqū,工大金川校区,Gongda Jinchuan Campus,hūhéhàotè,呼和浩特,Hohhot,Mainland China,Nei Mongol
1097A,40.7612,111.717,huàféichǎngshēnghuóqū,化肥厂生活区,Fertilizer plant living area,hūhéhàotè,呼和浩特,Hohhot,Mainland China,Nei Mongol
1098A,41.9339,123.6836,sēnlínlù,森林路,Forest road,shěnyáng,沈阳,Shenyang,Mainland China,Liaoning
1099A,41.7561,123.535,húnnándōnglù,浑南东路,South East Road,shěnyáng,沈阳,Shenyang,Mainland China,Liaoning
1100A,41.7089,123.439,xīnxìujiē,新秀街,New show street,shěnyáng,沈阳,Shenyang,Mainland China,Liaoning
1101A,41.7694,123.284,cānghǎilù,沧海路,Bohai Road,shěnyáng,沈阳,Shenyang,Mainland China,Liaoning
1102A,41.8336,123.542,dōnglínglù,东陵路,Dongling Road,shěnyáng,沈阳,Shenyang,Mainland China,Liaoning
1103A,41.8472,123.428,língdōngjiē,陵东街,Lingdong Street,shěnyáng,沈阳,Shenyang,Mainland China,Liaoning
1104A,41.765,123.41,wénhuàlù,文化路,Cultural road,shěnyáng,沈阳,Shenyang,Mainland China,Liaoning
1105A,41.7775,123.478,xiǎohéyán,小河沿,Small riverside,shěnyáng,沈阳,Shenyang,Mainland China,Liaoning
1106A,41.7972,123.3997,tàiyuánjiē,太原街,Taiyuan Street,shěnyáng,沈阳,Shenyang,Mainland China,Liaoning
1107A,41.7806,123.3606,nánshídōnglù,南十东路,Nanshi East Road,shěnyáng,沈阳,Shenyang,Mainland China,Liaoning
1108A,41.9228,123.3783,jīngshěnjiē,京沈街,Jingshen Street,shěnyáng,沈阳,Shenyang,Mainland China,Liaoning
1109A,38.973888889,121.61194444,gānjǐngzǐ,甘井子,Ganjingzi,dàlián,大连,Dalian,Mainland China,Liaoning
1110A,38.951111110999996,121.565,zhōushǔizǐ,周水子,Zhou Shuizi,dàlián,大连,Dalian,Mainland China,Liaoning
1111A,38.885,121.56388889,xīnghǎisānzhàn,星海三站,Xinghai Third Station,dàlián,大连,Dalian,Mainland China,Liaoning
1112A,38.911944444,121.63305556,qīngníwāqiáo,青泥洼桥,Qingniu Bridge,dàlián,大连,Dalian,Mainland China,Liaoning
1113A,38.863888889,121.625,fùjiāzhuāng,傅家庄,Fujiazhuang,dàlián,大连,Dalian,Mainland China,Liaoning
1114A,38.856111111,121.51805556,qīxiánlíng,七贤岭,Qixianling,dàlián,大连,Dalian,Mainland China,Liaoning
1115A,38.808055556,121.25888889,lv̌shùn,旅顺,Lushun,dàlián,大连,Dalian,Mainland China,Liaoning
1116A,39.1311,121.7481,jīnzhōu,金州,Golden State,dàlián,大连,Dalian,Mainland China,Liaoning
1117A,39.0511,121.7769,kāifāqū,开发区,Thereof: Development,dàlián,大连,Dalian,Mainland China,Liaoning
1118A,39.0631,121.9769,shuāngDgǎng,双D港,Double D port,dàlián,大连,Dalian,Mainland China,Liaoning
1119A,43.9167,125.323,shípǐnchǎng,食品厂,food factory,chángchūn,长春,Changchun,Mainland China,Jilin
1120A,43.91,125.287,kèchēchǎng,客车厂,Bus factory,chángchūn,长春,Changchun,Mainland China,Jilin
1121A,43.84,125.2786,yóudiànxuéyuàn,邮电学院,School of Posts and Telecommunications,chángchūn,长春,Changchun,Mainland China,Jilin
1122A,43.8748,125.3649,láodònggōngyuán,劳动公园,Labor park,chángchūn,长春,Changchun,Mainland China,Jilin
1123A,43.8694,125.325,yuánlínchù,园林处,Garden office,chángchūn,长春,Changchun,Mainland China,Jilin
1124A,43.7878,125.454,jìngyuètán,净月潭,Jingyuetan,chángchūn,长春,Changchun,Mainland China,Jilin
1125A,43.55,125.633,shuǎiwānzǐ,甩湾子,Tsuen Wanzi,chángchūn,长春,Changchun,Mainland China,Jilin
1126A,43.8667,125.417,jīngkāiqūhuánwèichù,经开区环卫处,Economic Development Zone,chángchūn,长春,Changchun,Mainland China,Jilin
1127A,43.8167,125.25,gāoxīnqūguǎnwěihùi,高新区管委会,High-tech Zone Management Committee,chángchūn,长春,Changchun,Mainland China,Jilin
1128A,43.85,125.217,dàishāngōngyuán,岱山公园,Lushan Park,chángchūn,长春,Changchun,Mainland China,Jilin
1129A,45.755,126.542,língběi,岭北,Lingbei,hāěrbīn,哈尔滨,Harbin,Mainland China,Heilongjiang
1130A,45.8167,126.561,sōngběishāngdà,松北商大,Songbei Business University,hāěrbīn,哈尔滨,Harbin,Mainland China,Heilongjiang
1131A,45.5422,126.979,āchénghùiníng,阿城会宁,Acheng Huining,hāěrbīn,哈尔滨,Harbin,Mainland China,Heilongjiang
1132A,45.7222,126.599,nángǎngxuéfǔlù,南岗学府路,Nangang Xuefu Road,hāěrbīn,哈尔滨,Harbin,Mainland China,Heilongjiang
1133A,45.7733,126.689,tàipínghóngwěigōngyuán,太平宏伟公园,Taiping Grand Park,hāěrbīn,哈尔滨,Harbin,Mainland China,Heilongjiang
1134A,45.7667,126.635,dàowàichéngdéguǎngcháng,道外承德广场,Chengde Square,hāěrbīn,哈尔滨,Harbin,Mainland China,Heilongjiang
1135A,45.7319,126.685,xiāngfānghóngqídàjiē,香坊红旗大街,Xiangfang Hongqi Street,hāěrbīn,哈尔滨,Harbin,Mainland China,Heilongjiang
1136A,45.7258,126.646,dònglìhépínglù,动力和平路,Power and peace road,hāěrbīn,哈尔滨,Harbin,Mainland China,Heilongjiang
1137A,45.7478,126.593,dàolǐjiànguólù,道里建国路,Daoli Jianguo Road,hāěrbīn,哈尔滨,Harbin,Mainland China,Heilongjiang
1138A,45.61,126.615,píngfángdōngqīngchǎng,平房东轻厂,Bungalow East Light Factory,hāěrbīn,哈尔滨,Harbin,Mainland China,Heilongjiang
1139A,45.9819,126.6106,hūlánshīzhuān,呼兰师专,Hulan Teachers College,hāěrbīn,哈尔滨,Harbin,Mainland China,Heilongjiang
1140A,45.6842,126.6206,shěngnóngkēyuàn,省农科院,Provincial Academy of Agricultural Sciences,hāěrbīn,哈尔滨,Harbin,Mainland China,Heilongjiang
1141A,31.238000000000003,121.4,pǔtuó,普陀,Putuo,shànghǎi,上海,Shanghai,Mainland China,Shanghai
1142A,31.2036,121.478,shíwǔchǎng,十五厂,Fifteen factory,shànghǎi,上海,Shanghai,Mainland China,Shanghai
1143A,31.3008,121.467,hóngkǒu,虹口,Hongkou,shànghǎi,上海,Shanghai,Mainland China,Shanghai
1144A,31.1654,121.412,xúhùishàngshīdà,徐汇上师大,Xuhui Masters,shànghǎi,上海,Shanghai,Mainland China,Shanghai
1145A,31.2659,121.536,yángpǔsìpiāo,杨浦四漂,Yangpu four float,shànghǎi,上海,Shanghai,Mainland China,Shanghai
1146A,31.0935,120.978,qīngpǔdiànshānhú,青浦淀山湖,Qingpu Dianshan Lake,shànghǎi,上海,Shanghai,Mainland China,Shanghai
1147A,31.2261,121.425,jìngānjiāncèzhàn,静安监测站,Jing&#39;an Monitoring Station,shànghǎi,上海,Shanghai,Mainland China,Shanghai
1148A,31.1907,121.703,pǔdōngchuānshā,浦东川沙,Pudong Chuansha,shànghǎi,上海,Shanghai,Mainland China,Shanghai
1149A,31.2284,121.533,pǔdōngxīnqūjiāncèzhàn,浦东新区监测站,Pudong New Area Monitoring Station,shànghǎi,上海,Shanghai,Mainland China,Shanghai
1150A,31.2071,121.577,pǔdōngzhāngjiāng,浦东张江,Pudong Zhangjiang,shànghǎi,上海,Shanghai,Mainland China,Shanghai
1151A,32.1083,118.803,màigāoqiáo,迈皋桥,Maiqiao Bridge,nánjīng,南京,Nanjing,Mainland China,Jiangsu
1152A,32.0572,118.749,cǎochángmén,草场门,Grassland gate,nánjīng,南京,Nanjing,Mainland China,Jiangsu
1153A,32.0723,118.778,shānxīlù,山西路,Shanxi Road,nánjīng,南京,Nanjing,Mainland China,Jiangsu
1154A,32.0144,118.777,zhōnghuámén,中华门,Zhonghuamen,nánjīng,南京,Nanjing,Mainland China,Jiangsu
1155A,32.0314,118.803,rùijīnlù,瑞金路,Ruijin Road,nánjīng,南京,Nanjing,Mainland China,Jiangsu
1156A,32.0775,118.795,xuánwǔhú,玄武湖,Xuanwu Lake,nánjīng,南京,Nanjing,Mainland China,Jiangsu
1158A,32.0092,118.737,àotǐzhōngxīn,奥体中心,Olympic Sports Center,nánjīng,南京,Nanjing,Mainland China,Jiangsu
1159A,32.105,118.907,xiānlíndàxuéchéng,仙林大学城,Xianlin University City,nánjīng,南京,Nanjing,Mainland China,Jiangsu
1160A,31.2472,120.561,shàngfāngshān,上方山,Upper mountain,sūzhōu,苏州,Suzhou,Mainland China,Jiangsu
1161A,31.2864,120.628,nánmén,南门,South gate,sūzhōu,苏州,Suzhou,Mainland China,Jiangsu
1162A,31.3019,120.591,cǎixiāng,彩香,Colorful,sūzhōu,苏州,Suzhou,Mainland China,Jiangsu
1163A,31.3264,120.596,yàgāngchǎng,轧钢厂,Rolling mill,sūzhōu,苏州,Suzhou,Mainland China,Jiangsu
1164A,31.2703,120.613,wúzhōngqū,吴中区,Wuzhong District,sūzhōu,苏州,Suzhou,Mainland China,Jiangsu
1165A,31.2994,120.543,sūzhōuxīnqū,苏州新区,Suzhou New District,sūzhōu,苏州,Suzhou,Mainland China,Jiangsu
1166A,31.3097,120.669,sūzhōugōngyèyuánqū,苏州工业园区,Suzhou Industrial Park,sūzhōu,苏州,Suzhou,Mainland China,Jiangsu
1168A,31.96,120.913,nánjiāo,南郊,Southern suburbs,nántōng,南通,Nantong,Mainland China,Jiangsu
1169A,32.0005,120.86,hóngqiáo,虹桥,Hongqiao,nántōng,南通,Nantong,Mainland China,Jiangsu
1170A,32.02,120.87,chéngzhōng,城中,In the city,nántōng,南通,Nantong,Mainland China,Jiangsu
1171A,31.93,120.94,xīnghúhuāyuán,星湖花园,Star Lake Garden,nántōng,南通,Nantong,Mainland China,Jiangsu
1172A,32.0417,120.81,zǐlángxuéyuàn,紫琅学院,Ziyan College,nántōng,南通,Nantong,Mainland China,Jiangsu
1173A,34.5885,119.176,shìhuánjìngjiāncèzhàn,市环境监测站,City Environmental Monitoring Station,liányúngǎng,连云港,Lianyungang,Mainland China,Jiangsu
1174A,34.5896,119.141,hóngménpàichūsuǒ,洪门派出所,Hongmen Police Station,liányúngǎng,连云港,Lianyungang,Mainland China,Jiangsu
1175A,34.7507,119.368,xūgōuhédiànzhuānjiācūn,墟沟核电专家村,Xugou Nuclear Power Expert Village,liányúngǎng,连云港,Lianyungang,Mainland China,Jiangsu
1176A,34.6984,119.348,kāifāqūhéngrùiyìyàogōngsī,开发区恒瑞医药公司,Development Zone Hengrui Pharmaceutical Company,liányúngǎng,连云港,Lianyungang,Mainland China,Jiangsu
1177A,34.2761,117.167,huánghéxīncūn,黄河新村,Yellow River New Village,xúzhōu,徐州,Xuzhou,Mainland China,Jiangsu
1178A,34.2417,117.192,huáitǎ,淮塔,Huaita,xúzhōu,徐州,Xuzhou,Mainland China,Jiangsu
1179A,34.3083,117.192,tóngshānshòuyìyuàn,铜山兽医院,Tongshan Beast Hospital,xúzhōu,徐州,Xuzhou,Mainland China,Jiangsu
1180A,34.2153,117.256,xīnchéngqū,新城区,Xincheng,xúzhōu,徐州,Xuzhou,Mainland China,Jiangsu
1181A,34.2911,117.244,táoyuánlù,桃园路,Taoyuan Road,xúzhōu,徐州,Xuzhou,Mainland China,Jiangsu
1182A,34.2778,117.2933,nóngkēyuàn,农科院,Academy of Agricultural Sciences,xúzhōu,徐州,Xuzhou,Mainland China,Jiangsu
1183A,34.1806,117.166,tóngshānqūhuánbǎojú,铜山区环保局,Tongshan District Environmental Protection Bureau,xúzhōu,徐州,Xuzhou,Mainland China,Jiangsu
1184A,32.3878,119.46,chéngdōngcáizhèngsuǒ,城东财政所,Chengdong Finance Office,yángzhōu,扬州,Yangzhou,Mainland China,Jiangsu
1185A,32.41,119.404,shìjiāncèzhàn,市监测站,City monitoring station,yángzhōu,扬州,Yangzhou,Mainland China,Jiangsu
1186A,32.3761,119.389,hánjiāngjiāncèzhàn,邗江监测站,Minjiang Monitoring Station,yángzhōu,扬州,Yangzhou,Mainland China,Jiangsu
1187A,32.4033,119.439,dìsìyìyuàn,第四医院,Fourth hospital,yángzhōu,扬州,Yangzhou,Mainland China,Jiangsu
1188A,31.4867,120.269,xuělàng,雪浪,Snow wave,wúxí,无锡,Wuxi,Mainland China,Jiangsu
1189A,31.6219,120.275,huángxiàng,黄巷,Yellow alley,wúxí,无锡,Wuxi,Mainland China,Jiangsu
1191A,31.5031,120.242,qītáng,漆塘,Paint pond,wúxí,无锡,Wuxi,Mainland China,Jiangsu
1192A,31.5848,120.354,dōngtíng,东亭,Dongting,wúxí,无锡,Wuxi,Mainland China,Jiangsu
1193A,31.5475,120.354,wàngzhuāng,旺庄,Wangzhuang,wúxí,无锡,Wuxi,Mainland China,Jiangsu
1194A,31.5631,120.245,róngxiàng,荣巷,Rongxiang,wúxí,无锡,Wuxi,Mainland China,Jiangsu
1195A,31.6842,120.288,yànqiáo,堰桥,Bridge,wúxí,无锡,Wuxi,Mainland China,Jiangsu
1196A,31.7586,119.996,shìjiāncèzhàn,市监测站,City monitoring station,chángzhōu,常州,Changzhou,Mainland China,Jiangsu
1197A,31.7786,119.933,chéngjiànxuéxiào,城建学校,Urban construction school,chángzhōu,常州,Changzhou,Mainland China,Jiangsu
1198A,31.8089,119.962,chánggōngyuàn,常工院,Changgongyuan,chángzhōu,常州,Changzhou,Mainland China,Jiangsu
1199A,31.7638,120.0393,lùchéng,潞城,Yucheng,chángzhōu,常州,Changzhou,Mainland China,Jiangsu
1200A,31.7039,119.935,wǔjìnjiāncèzhàn,武进监测站,Wujin Monitoring Station,chángzhōu,常州,Changzhou,Mainland China,Jiangsu
1201A,31.9108,119.905,ānjiā,安家,settle down,chángzhōu,常州,Changzhou,Mainland China,Jiangsu
1202A,32.205490000000005,119.42511,huánjìngjiāncèzhàn,环境监测站,Environmental monitoring observatories;,zhènjiāng,镇江,Zhenjiang,Mainland China,Jiangsu
1203A,32.1883,119.68,xīnqūbànshìchù,新区办事处,New District Office,zhènjiāng,镇江,Zhenjiang,Mainland China,Jiangsu
1204A,32.215,119.491,zhíjiàozhōngxīn,职教中心,Vocational education center,zhènjiāng,镇江,Zhenjiang,Mainland China,Jiangsu
1205A,32.1319,119.43,dāntúqūjiāncèzhàn,丹徒区监测站,Dantu District Monitoring Station,zhènjiāng,镇江,Zhenjiang,Mainland China,Jiangsu
1206A,32.4867,119.9,gōngyuánlù,公园路,Park Road,tàizhōu,泰州,Taizhou,Mainland China,Jiangsu
1207A,32.4611,119.9219,liánhuā,莲花,Nelumbo nucifera,tàizhōu,泰州,Taizhou,Mainland China,Jiangsu
1208A,32.303000000000004,119.882,gāogǎngqūzhèngfǔ,高港区政府,Gaogang District Government,tàizhōu,泰州,Taizhou,Mainland China,Jiangsu
1209A,32.4639,119.888,líuxuéshēngchuàngyèyuán,留学生创业园,International Student Pioneer Park,tàizhōu,泰州,Taizhou,Mainland China,Jiangsu
1210A,33.5981,119.036,bōchíshān,钵池山,Dianchishan,huáiān,淮安,Huaian,Mainland China,Jiangsu
